Tarih,Gerçek,Tahmin,Alt_Sınır,Üst_Sınır
2025-12-14,4299.8732,4300.965766361276,4228.615076287955,4374.55436110543
2025-12-15,4305.0007,4300.969239942077,4230.413360141831,4372.701868147406
2025-12-16,4302.2966,4306.102564410531,4237.197647544787,4376.128006671408
2025-12-17,4338.0184,4303.400683832898,4236.226665517169,4371.6398832857485
2025-12-18,4332.6805,4339.139145458283,4271.42159974179,4407.930260217489
2025-12-19,4339.4302,4333.802454543171,4267.756835170237,4400.8701621012615
2025-12-20,4339.4302,4340.559065297156,4275.966663241823,4406.127194885433
2025-12-21,4339.4302,4340.563000443257,4277.519631619359,4404.535521368127
2025-12-22,4443.6841,4340.5668835871365,4279.0214788212315,4402.9974993449805
2025-12-23,4484.4558,4444.837203335291,4369.123006577014,4521.863480248354
2025-12-24,4479.4438,4485.626583314617,4409.262371454426,4563.313350369251
